Category,Description,Material,Qty,Unit,Unit Price,Total,Currency
slab,F1 Floor Slab — RC slab (120mm) incl. formwork + rebar,Concrete_C30,80.0,m2,1200,96000.0,HKD
wall,F1 Exterior Walls — Common brick wall (200mm) incl. render,Brick_Common,126.0,m2,850,107100.0,HKD
wall,F1 Interior Partitions — Gypsum board partition (double-sided),Gypsum_Board,67.2,m2,420,28224.0,HKD
window,F1 Windows — Thermal-break aluminum + Low-E double glazing,Glass_Double_LowE,37.8,m2,3800,143640.0,HKD
door,F1 Doors — Solid wood door (900mm) + frame + hardware,Wood_Door,8,ea,8500,68000,HKD
finish,F1_zone Floor Finish — Ceramic tile floor (supply + install),Ceramic_Tile,6.0,m2,380,2280.0,HKD
finish,F1_zone_2 Floor Finish — Ceramic tile floor (supply + install),Ceramic_Tile,14.0,m2,380,5320.0,HKD
finish,F1_4_2 Floor Finish — Ceramic tile floor (supply + install),Ceramic_Tile,20.0,m2,380,7600.0,HKD
finish,F1_zone_3 Floor Finish — Ceramic tile floor (supply + install),Ceramic_Tile,12.0,m2,380,4560.0,HKD
finish,F1_zone_4 Floor Finish — Ceramic tile floor (supply + install),Ceramic_Tile,10.0,m2,380,3800.0,HKD
finish,F1_zone_5 Floor Finish — Ceramic tile floor (supply + install),Ceramic_Tile,12.0,m2,380,4560.0,HKD
finish,F1_bathroom Floor Finish — Ceramic tile floor (supply + install),Ceramic_Tile,4.0,m2,380,1520.0,HKD
finish,F1_zone_6 Floor Finish — Ceramic tile floor (supply + install),Ceramic_Tile,2.0,m2,380,760.0,HKD
roof,Roof — RC roof slab + waterproofing + insulation,Concrete_C30,80.0,m2,1500,120000.0,HKD

,,,,,,Subtotal,593364.0
,,,,,,MEP (25%),148341.0
,,,,,,Prelim (12%),71203.68
,,,,,,Contingency (10%),81290.87
,,,,,,Grand Total,894199.55
