Category,Description,Material,Qty,Unit,Unit Price,Total,Currency
slab,F1 Floor Slab — RC slab (120mm) incl. formwork + rebar,Concrete_C30,100.0,m2,1200,120000.0,HKD
wall,F1 Exterior Walls — Common brick wall (200mm) incl. render,Brick_Common,140.0,m2,850,119000.0,HKD
wall,F1 Interior Partitions — Gypsum board partition (double-sided),Gypsum_Board,67.2,m2,420,28224.0,HKD
window,F1 Windows — Thermal-break aluminum + Low-E double glazing,Glass_Double_LowE,42.0,m2,3800,159600.0,HKD
door,F1 Doors — Solid wood door (900mm) + frame + hardware,Wood_Door,8,ea,8500,68000,HKD
finish,F1_reception Floor Finish — Ceramic tile floor (supply + install),Ceramic_Tile,8.0,m2,380,3040.0,HKD
finish,F1_10 Floor Finish — Ceramic tile floor (supply + install),Ceramic_Tile,6.0,m2,380,2280.0,HKD
finish,F1_zone Floor Finish — Ceramic tile floor (supply + install),Ceramic_Tile,24.0,m2,380,9120.0,HKD
finish,F1_zone_2 Floor Finish — Ceramic tile floor (supply + install),Ceramic_Tile,30.0,m2,380,11400.0,HKD
finish,F1_zone_3 Floor Finish — Ceramic tile floor (supply + install),Ceramic_Tile,8.0,m2,380,3040.0,HKD
finish,F1_bathroom Floor Finish — Ceramic tile floor (supply + install),Ceramic_Tile,10.0,m2,380,3800.0,HKD
finish,F1_zone_4 Floor Finish — Ceramic tile floor (supply + install),Ceramic_Tile,8.0,m2,380,3040.0,HKD
finish,F1_storage Floor Finish — Ceramic tile floor (supply + install),Ceramic_Tile,6.0,m2,380,2280.0,HKD
roof,Roof — RC roof slab + waterproofing + insulation,Concrete_C30,100.0,m2,1500,150000.0,HKD

,,,,,,Subtotal,682824.0
,,,,,,MEP (25%),170706.0
,,,,,,Prelim (12%),81938.88
,,,,,,Contingency (10%),93546.89
,,,,,,Grand Total,1029015.77
